,0,1
0,0.5,0.5
1,1.5,1.5
2,2.5,2.5
3,3.5,3.5
4,4.5,4.5
5,5.5,5.5
6,6.5,6.5
7,7.5,7.5
8,8.5,8.5
9,9.5,9.5
10,10.5,10.5
11,11.5,11.5
12,12.5,12.5
13,13.5,13.5
14,14.5,14.5
15,15.5,15.5
16,16.5,16.5
17,17.5,17.5
18,18.5,18.5
19,19.5,19.5
20,20.5,20.5
21,21.5,21.5
22,22.5,22.5
23,23.5,23.5
24,24.5,24.5
25,25.5,25.5
26,26.5,26.5
27,27.5,27.5
28,28.5,28.5
29,29.5,29.5
30,30.5,30.5
31,31.5,31.5
32,32.5,32.5
33,33.5,33.5
34,34.5,34.5
35,35.5,35.5
36,36.5,36.5
37,37.5,37.5
38,38.5,38.5
39,39.5,39.5
40,40.5,40.5
41,41.5,41.5
42,42.5,42.5
43,43.5,43.5
44,44.5,44.5
45,45.5,45.5
46,46.5,46.5
47,47.5,47.5
48,48.5,48.5
49,49.5,49.5
50,50.5,50.5
51,51.5,51.5
52,52.5,52.5
53,53.5,51.5
54,54.5,50.5
55,55.5,49.5
56,56.5,48.5
57,57.5,47.5
58,58.5,46.5
59,59.5,45.5
60,60.5,44.5
61,61.5,43.5
62,62.5,42.5
63,63.5,41.5
64,64.5,40.5
65,65.5,39.5
66,66.5,38.5
67,67.5,37.5
68,68.5,36.5
69,69.5,35.5
70,70.5,34.5
71,71.5,33.5
72,72.5,32.5
73,73.5,31.5
74,74.5,30.5
75,75.5,31.5
76,76.5,32.5
77,77.5,33.5
78,78.5,34.5
79,79.5,35.5
80,80.5,36.5
81,81.5,37.5
82,82.5,38.5
83,83.5,39.5
84,84.5,40.5
85,85.5,41.5
86,86.5,42.5
87,87.5,43.5
88,88.5,44.5
89,89.5,45.5
90,90.5,46.5
91,91.5,47.5
92,92.5,48.5
93,93.5,48.5
94,94.5,48.5
95,95.5,48.5
96,96.5,48.5
97,97.5,48.5
98,98.5,48.5
99,99.5,48.5
100,100.5,49.5
101,101.5,50.5
102,102.5,51.5
103,103.5,52.5
104,104.5,53.5
105,105.5,54.5
106,106.5,55.5
107,107.5,56.5
108,108.5,57.5
109,109.5,58.5
110,110.5,59.5
111,111.5,60.5
112,112.5,61.5
113,113.5,62.5
114,114.5,63.5
115,115.5,64.5
116,116.5,65.5
117,117.5,66.5
118,118.5,67.5
119,119.5,68.5
120,120.5,69.5
121,121.5,70.5
122,122.5,71.5
123,123.5,72.5
124,124.5,73.5
125,125.5,74.5
126,126.5,75.5
127,127.5,76.5
128,128.5,77.5
129,129.5,78.5
130,130.5,79.5
131,131.5,80.5
132,132.5,81.5
133,133.5,82.5
134,134.5,83.5
135,135.5,84.5
136,136.5,85.5
137,137.5,86.5
138,138.5,87.5
139,139.5,88.5
140,140.5,89.5
141,141.5,90.5
142,142.5,91.5
143,143.5,92.5
144,144.5,93.5
145,145.5,94.5
146,146.5,95.5
147,147.5,96.5
148,148.5,97.5
149,149.5,98.5
150,150.5,99.5
151,151.5,100.5
152,152.5,101.5
153,153.5,102.5
154,154.5,103.5
155,155.5,104.5
156,156.5,105.5
157,157.5,106.5
158,158.5,107.5
159,159.5,108.5
160,160.5,109.5
161,161.5,110.5
162,162.5,111.5
163,163.5,112.5
164,164.5,113.5
165,165.5,114.5
166,166.5,115.5
167,167.5,116.5
168,168.5,117.5
169,169.5,118.5
170,170.5,119.5
171,171.5,120.5
172,172.5,121.5
173,173.5,122.5
174,174.5,123.5
175,175.5,124.5
176,176.5,125.5
177,177.5,126.5
178,178.5,127.5
179,179.5,128.5
180,180.5,129.5
181,181.5,130.5
182,182.5,129.5
183,183.5,128.5
184,184.5,127.5
185,185.5,126.5
186,186.5,125.5
187,187.5,124.5
188,188.5,123.5
189,189.5,122.5
190,190.5,121.5
191,191.5,120.5
192,192.5,119.5
193,193.5,118.5
194,194.5,118.5
195,195.5,118.5
196,196.5,118.5
197,197.5,118.5
198,198.5,119.5
