,0,1
0,0.5,0.5
1,1.5,1.5
2,2.5,2.5
3,3.5,3.5
4,4.5,4.5
5,5.5,5.5
6,6.5,6.5
7,7.5,7.5
8,8.5,8.5
9,9.5,9.5
10,10.5,10.5
11,11.5,11.5
12,12.5,12.5
13,13.5,13.5
14,14.5,14.5
15,15.5,15.5
16,16.5,16.5
17,17.5,17.5
18,18.5,18.5
19,19.5,19.5
20,20.5,20.5
21,21.5,21.5
22,22.5,22.5
23,23.5,23.5
24,24.5,24.5
25,25.5,25.5
26,26.5,26.5
27,27.5,27.5
28,28.5,28.5
29,29.5,29.5
30,30.5,30.5
31,31.5,31.5
32,32.5,32.5
33,33.5,33.5
34,34.5,34.5
35,35.5,35.5
36,36.5,36.5
37,37.5,37.5
38,38.5,38.5
39,39.5,39.5
40,40.5,40.5
41,41.5,41.5
42,42.5,42.5
43,43.5,43.5
44,44.5,44.5
45,45.5,45.5
46,46.5,46.5
47,47.5,47.5
48,48.5,48.5
49,49.5,49.5
50,50.5,50.5
51,51.5,51.5
52,52.5,52.5
53,53.5,53.5
54,54.5,54.5
55,55.5,55.5
56,56.5,56.5
57,56.5,57.5
58,56.5,58.5
59,56.5,59.5
60,56.5,60.5
61,56.5,61.5
62,56.5,62.5
63,56.5,63.5
64,56.5,64.5
65,56.5,65.5
66,56.5,66.5
67,56.5,67.5
68,56.5,68.5
69,56.5,69.5
70,56.5,70.5
71,56.5,71.5
72,56.5,72.5
73,56.5,73.5
74,56.5,74.5
75,56.5,75.5
76,56.5,76.5
77,56.5,77.5
78,56.5,78.5
79,56.5,79.5
80,56.5,80.5
81,56.5,81.5
82,56.5,82.5
83,56.5,83.5
84,56.5,84.5
85,56.5,85.5
86,56.5,86.5
87,56.5,87.5
88,56.5,88.5
89,56.5,89.5
90,56.5,90.5
91,56.5,91.5
92,56.5,92.5
93,56.5,93.5
94,56.5,94.5
95,56.5,95.5
96,57.5,96.5
97,58.5,97.5
98,59.5,98.5
99,60.5,99.5
100,61.5,100.5
101,62.5,101.5
102,63.5,102.5
103,64.5,103.5
104,65.5,104.5
105,66.5,105.5
106,67.5,106.5
107,68.5,107.5
108,69.5,108.5
109,70.5,109.5
110,71.5,110.5
111,72.5,111.5
112,73.5,112.5
113,74.5,113.5
114,75.5,114.5
115,76.5,115.5
116,77.5,116.5
117,78.5,117.5
118,79.5,118.5
119,80.5,119.5
120,81.5,120.5
121,81.5,121.5
122,81.5,122.5
123,81.5,123.5
124,81.5,124.5
125,82.5,125.5
126,83.5,126.5
127,84.5,127.5
128,85.5,128.5
129,86.5,129.5
130,87.5,130.5
131,88.5,131.5
132,89.5,132.5
133,90.5,133.5
134,91.5,134.5
135,92.5,135.5
136,93.5,136.5
137,94.5,137.5
138,95.5,138.5
139,96.5,139.5
140,97.5,140.5
141,98.5,141.5
142,99.5,142.5
143,100.5,143.5
144,101.5,144.5
145,102.5,145.5
146,103.5,146.5
147,104.5,147.5
148,105.5,148.5
149,106.5,149.5
150,107.5,150.5
151,108.5,151.5
152,109.5,152.5
153,110.5,151.5
154,111.5,150.5
155,112.5,149.5
156,113.5,148.5
157,114.5,147.5
158,115.5,146.5
159,116.5,145.5
160,117.5,144.5
161,118.5,143.5
162,119.5,142.5
163,120.5,141.5
164,121.5,140.5
165,122.5,139.5
166,123.5,138.5
167,124.5,137.5
168,125.5,136.5
169,126.5,135.5
170,127.5,134.5
171,128.5,133.5
172,129.5,132.5
173,130.5,131.5
174,131.5,130.5
175,132.5,129.5
176,133.5,128.5
177,134.5,127.5
178,135.5,126.5
179,136.5,125.5
180,137.5,124.5
181,138.5,123.5
182,139.5,122.5
183,140.5,121.5
184,141.5,120.5
185,142.5,119.5
186,143.5,118.5
187,144.5,117.5
188,145.5,116.5
189,146.5,115.5
190,147.5,114.5
191,148.5,113.5
192,149.5,112.5
193,150.5,111.5
194,151.5,110.5
195,152.5,109.5
196,153.5,108.5
197,154.5,107.5
198,155.5,106.5
199,156.5,105.5
200,157.5,104.5
201,158.5,103.5
202,159.5,102.5
203,160.5,101.5
204,161.5,100.5
205,162.5,99.5
206,163.5,98.5
207,164.5,97.5
208,165.5,98.5
209,166.5,99.5
210,167.5,100.5
211,168.5,101.5
212,169.5,102.5
213,170.5,103.5
214,171.5,104.5
215,172.5,105.5
216,173.5,106.5
217,174.5,107.5
218,175.5,108.5
219,176.5,109.5
220,177.5,110.5
221,178.5,111.5
222,179.5,112.5
223,180.5,113.5
224,181.5,114.5
225,182.5,115.5
226,183.5,116.5
227,184.5,117.5
228,185.5,118.5
229,186.5,119.5
230,187.5,120.5
231,188.5,121.5
232,189.5,122.5
233,190.5,123.5
234,191.5,124.5
235,192.5,123.5
236,193.5,122.5
237,194.5,121.5
238,195.5,120.5
239,196.5,119.5
240,197.5,118.5
241,198.5,119.5
