,0,1
0,49.5,198.5
1,50.5,197.5
2,51.5,196.5
3,52.5,195.5
4,53.5,194.5
5,54.5,193.5
6,55.5,192.5
7,56.5,191.5
8,57.5,190.5
9,58.5,189.5
10,59.5,188.5
11,60.5,187.5
12,61.5,186.5
13,62.5,185.5
14,63.5,184.5
15,64.5,183.5
16,65.5,182.5
17,66.5,181.5
18,67.5,180.5
19,68.5,179.5
20,69.5,178.5
21,70.5,177.5
22,71.5,176.5
23,72.5,175.5
24,73.5,174.5
25,74.5,173.5
26,75.5,172.5
27,76.5,171.5
28,77.5,170.5
29,78.5,169.5
30,79.5,168.5
31,80.5,167.5
32,81.5,166.5
33,82.5,165.5
34,83.5,164.5
35,84.5,163.5
36,85.5,162.5
37,86.5,161.5
38,87.5,160.5
39,88.5,159.5
40,89.5,158.5
41,90.5,157.5
42,91.5,156.5
43,92.5,155.5
44,93.5,154.5
45,94.5,153.5
46,95.5,152.5
47,96.5,151.5
48,97.5,150.5
49,98.5,149.5
50,99.5,148.5
51,100.5,147.5
52,101.5,146.5
53,102.5,145.5
54,103.5,144.5
55,104.5,143.5
56,105.5,142.5
57,106.5,141.5
58,107.5,140.5
59,108.5,139.5
60,109.5,138.5
61,110.5,137.5
62,111.5,136.5
63,112.5,135.5
64,113.5,134.5
65,114.5,133.5
66,115.5,132.5
67,116.5,131.5
68,117.5,130.5
69,118.5,129.5
70,119.5,128.5
71,120.5,127.5
72,121.5,126.5
73,122.5,125.5
74,123.5,124.5
75,124.5,123.5
76,125.5,122.5
77,126.5,121.5
78,127.5,120.5
79,128.5,119.5
80,129.5,118.5
81,130.5,117.5
82,131.5,116.5
83,132.5,115.5
84,133.5,114.5
85,134.5,113.5
86,135.5,112.5
87,136.5,111.5
88,137.5,110.5
89,138.5,109.5
90,139.5,108.5
91,140.5,107.5
92,141.5,106.5
93,142.5,105.5
94,143.5,104.5
95,144.5,103.5
96,145.5,102.5
97,146.5,101.5
98,147.5,100.5
99,148.5,99.5
100,149.5,98.5
101,150.5,97.5
102,151.5,96.5
103,152.5,95.5
104,153.5,94.5
105,154.5,93.5
106,155.5,92.5
107,156.5,91.5
108,157.5,90.5
109,158.5,89.5
110,159.5,88.5
111,160.5,87.5
112,161.5,86.5
113,162.5,85.5
114,163.5,84.5
115,164.5,83.5
116,165.5,82.5
117,166.5,81.5
118,167.5,80.5
119,168.5,79.5
120,169.5,78.5
121,170.5,77.5
122,171.5,76.5
123,172.5,75.5
124,173.5,74.5
125,174.5,73.5
126,173.5,72.5
127,172.5,71.5
128,171.5,70.5
129,170.5,69.5
130,169.5,68.5
131,168.5,67.5
132,167.5,66.5
133,166.5,65.5
134,165.5,64.5
135,164.5,63.5
136,163.5,62.5
137,162.5,61.5
138,161.5,60.5
139,160.5,59.5
140,159.5,58.5
141,158.5,57.5
142,157.5,56.5
143,156.5,55.5
144,155.5,54.5
145,154.5,53.5
146,153.5,52.5
147,152.5,51.5
148,151.5,50.5
149,150.5,49.5
150,149.5,48.5
151,148.5,47.5
152,147.5,46.5
153,146.5,45.5
154,145.5,44.5
155,144.5,43.5
156,143.5,42.5
157,142.5,41.5
158,141.5,40.5
159,140.5,39.5
160,139.5,38.5
161,138.5,37.5
162,137.5,36.5
163,136.5,35.5
164,135.5,34.5
165,134.5,33.5
166,133.5,32.5
167,132.5,31.5
168,131.5,30.5
169,130.5,29.5
170,129.5,28.5
171,128.5,27.5
172,127.5,26.5
173,126.5,25.5
174,125.5,24.5
175,126.5,23.5
176,127.5,22.5
177,128.5,21.5
178,129.5,20.5
179,130.5,19.5
180,131.5,18.5
181,132.5,17.5
182,133.5,16.5
183,134.5,15.5
184,135.5,14.5
185,136.5,13.5
186,137.5,12.5
187,138.5,11.5
188,139.5,10.5
189,140.5,9.5
190,141.5,8.5
191,142.5,7.5
192,143.5,6.5
193,144.5,5.5
194,145.5,4.5
195,146.5,3.5
196,147.5,2.5
197,148.5,1.5
198,149.5,0.5
